linie,statie,cod_statie,conexiune_linii,directie
69_24,SOSEAUA MIHAI BRAVU,790,"69, 85,",up
69_25,AVRIG,2585,"69, 85,",up
69_26,SOSEAUA PANTELIMON,791,"69, 85,143,682,",up
69_27,GARA OBOR,792,"69, 85,143,682,",up
69_28,BAICULUI,793,"69, 85,143,682,",up
69_0,BAICULUI,774,"69, 85,682,",down
69_1,GARA OBOR,775,"69, 85,682,",down
69_2,SOSEAUA PANTELIMON,776,"69, 85,101,",down
69_3,SOSEAUA MIHAI BRAVU,777,"69, 85,101,",down
69_4,OBORUL NOU,778,"69, 85,",down
69_5,FOISORUL DE FOC,779,"69, 85,",down
69_6,CALEA MOSILOR,727,"69, 70, 85, 90,311,655,",down
69_7,ARMENEASCA,2405,"66, 69, 70, 85, 90,311,655,",down
69_8,TEATRUL NATIONAL,968,"61, 66, 69, 70, 85, 90, 91,336,601,",down
69_9,UNIVERSITATE,729,"61, 66, 69, 70, 85, 90, 91,336,601,",down
69_10,GRADINA CISMIGIU,2933,"61, 66, 69, 70, 85, 90, 91,122,137,138,268,336,601,",down
69_11,PIATA MIHAIL KOGALNICEANU,731,"61, 69, 90, 91,122,137,138,268,336,601,",down
69_12,FACULTATEA DE DREPT,2575,"61, 69, 90, 91,122,137,138,163,268,336,601,",down
69_13,STIRBEI VODA,1997,"61, 69, 90, 91,123,601,696,",down
69_14,GRADINA BOTANICA,848,"61, 62, 69, 90, 91, 93, 96,236,336,",down
69_15,PIATA LEUL,1394,"61, 62, 69, 90, 91, 93, 96,136,236,336,",down
69_16,BD. IULIU MANIU,1571,"69, 90, 91, 93, 96,105,",down
69_17,BD.TIMISOARA,1572,"69, 90, 91, 93, 96,105,",down
69_18,ORIZONT,737,"69, 90, 93,105,126,168,268,368,668,",down
69_19,FAVORIT,2039,"69, 90, 93,126,",down
69_20,1 MAI,4498,"69, 90, 93,126,",down
69_21,DRUMETUL,2041,"69, 90, 93,126,",down
69_22,PARCUL DRUMUL TABEREI,4501,"69, 90, 93,173,221,368,",down
69_23,LICEUL EUGEN LOVINESCU,1125,"69, 90, 93,173,221,368,",down
69_24,RAUL DOAMNEI,1126,"69, 90, 93,173,221,368,",down
69_25,POSTA,1800,"69, 90, 93,168,173,221,268,368,668,",down
69_26,VALEA ARGESULUI,2033,"69, 90, 93,",down
70_0,BD. BASARABIA,973,"70, 79,253,",up
70_1,LICEUL NICHITA STANESCU,2913,"70, 79,253,",up
70_2,CONSTANTIN BRANCUSI,975,"70, 79,253,",up
70_3,BD. NICOLAE GRIGORESCU,716,"70, 79,",up
70_4,I.O.R.,717,"70, 79,",up
70_5,SOSEAUA CAMPIA LIBERTATII,718,"70, 79,",up
70_6,ION TUCULESCU,719,"70, 79,311,",up
70_7,SOSEAUA MIHAI BRAVU,720,"70, 79,311,",up
70_8,AMAZOANEI,2071,"70, 79,",up
70_9,BD. DECEBAL,721,"70, 79,",up
70_10,CALEA CALARASILOR,723,"70, 79,",up
70_11,BISERICA DELEA VECHE,3125,"70, 79,",up
70_12,TEPES VODA,724,"70, 79,",up
70_13,MATEI VOIEVOD,725,"70, 79,",up
70_14,TRAIAN,726,"70, 90,311,655,",up
70_15,CALEA MOSILOR,727,"69, 70, 85, 90,311,655,",up
70_16,ARMENEASCA,2405,"66, 69, 70, 85, 90,311,655,",up
70_17,TEATRUL NATIONAL,968,"61, 66, 69, 70, 85, 90, 91,336,601,",up
70_18,UNIVERSITATE,729,"61, 66, 69, 70, 85, 90, 91,336,601,",up
70_19,GRADINA CISMIGIU,2933,"61, 66, 69, 70, 85, 90, 91,122,137,138,268,336,601,",up
70_20,PIATA MIHAIL KOGALNICEANU,730,"66, 70, 85,",up
70_21,VASILE PARVAN,2940,"66, 70,",up
70_0,VASILE PARVAN,2940,"66, 70,",down
70_1,PIATA MIHAIL KOGALNICEANU,758,"61, 66, 69, 70, 85, 90, 91,336,601,",down
70_2,GRADINA CISMIGIU,2934,"61, 66, 69, 70, 85, 90, 91,336,601,",down
70_3,UNIVERSITATE,759,"61, 66, 69, 70, 85, 90, 91,",down
70_4,PIATA ROSETTI,760,"61, 66, 69, 70, 85, 90, 91,336,601,",down
70_5,ARMENEASCA,2398,"66, 69, 70, 85, 90,311,655,",down
70_6,CALEA MOSILOR,761,"69, 70, 85, 90,311,655,",down
70_7,TRAIAN,762,"70, 90,311,655,",down
70_8,MATEI VOIEVOD,763,"70, 79,",down
70_9,TEPES VODA,764,"70, 79,",down
70_10,BISERICA DELEA VECHE,3126,"70, 79,",down
70_11,CALEA CALARASILOR,765,"70, 79,",down
70_12,INVINGATORILOR,135,"70, 79,",down
70_13,BD. DECEBAL,767,"70, 79,",down
70_14,SOSEAUA MIHAI BRAVU,3444,"70, 79,",down
70_15,ION TUCULESCU,770,"70, 79,311,",down
70_16,SOSEAUA CAMPIA LIBERTATII,771,"70, 79,",down
70_17,I.O.R.,772,"70, 79,",down
70_18,BD. NICOLAE GRIGORESCU,773,"70, 79,102,202,253,",down
70_19,LUCRETIU PATRASCANU,970,"70, 79,102,202,253,",down
70_20,LICEUL NICHITA STANESCU,2912,"70, 79,102,202,253,",down
70_21,BD. BASARABIA,972,"70, 79,102,",down
73_0,TURNU MAGURELE,92,"73,313,",up
73_1,ALIORULUI,2294,"73,313,",up
73_2,STRADUINTEI,93,"73,313,",up
73_3,DRAGOS MLADINOVICI,94,"73,313,",up
73_4,EMIL RACOVITA,95,"73,313,",up
73_5,EMIL RACOVITA,711,"73,312,",up
73_6,SPITALUL DR. ALEXANDRU OBREGIA,3788,"73,312,",up
73_7,ALIORULUI,713,"73,312,",up
73_8,ALEEA RAUL TARGULUI,714,"73,312,",up
73_9,CICEU,2509,"73,102,125,232,312,",up
73_10,BD. ALEXANDRU OBREGIA,941,"73,",up
73_0,BD. ALEXANDRU OBREGIA,931,"73,102,125,232,312,",down
73_1,CICEU,2675,"73,102,125,232,312,",down
73_2,ALEEA RAUL TARGULUI,689,"73,312,",down
73_3,ALIORULUI,690,"73,312,",down
73_4,SPITALUL DR. ALEXANDRU OBREGIA,3787,"73,312,",down
73_5,NITU VASILE,935,"73,312,",down
73_6,BD. ALEXANDRU OBREGIA,944,"73,313,",down
73_7,DRAGOS MLADINOVICI,945,"73,313,",down
73_8,STRADUINTEI,946,"73,313,",down
73_9,ALIORULUI,2472,"73,313,",down
73_10,TURNU MAGURELE,277,"73,",down
77_0,PIATA RESITA,949,"77,216,381,",up
77_1,STRAJA,950,"77,381,",up
77_2,IZVORUL RECE,2183,"77,381,",up
77_3,BD. CONSTANTIN BRANCOVEANU,951,"77,381,",up
77_4,BD. ALEXANDRU OBREGIA,953,"77,381,",up
77_0,BD. ALEXANDRU OBREGIA,954,"77,381,",down
77_1,BD. CONSTANTIN BRANCOVEANU,955,"77,381,",down
77_2,RESITA,2164,"77,381,",down
77_3,STRAJA,957,"77,381,",down
77_4,PIATA RESITA,958,"77,",down
79_0,BD. BASARABIA,973,"70, 79,253,",up
79_1,LICEUL NICHITA STANESCU,2913,"70, 79,253,",up
79_2,CONSTANTIN BRANCUSI,975,"70, 79,253,",up
79_3,BD. NICOLAE GRIGORESCU,716,"70, 79,",up
79_4,I.O.R.,717,"70, 79,",up
79_5,SOSEAUA CAMPIA LIBERTATII,718,"70, 79,",up
79_6,ION TUCULESCU,719,"70, 79,311,",up
79_7,SOSEAUA MIHAI BRAVU,720,"70, 79,311,",up
79_8,AMAZOANEI,2071,"70, 79,",up
79_9,BD. DECEBAL,721,"70, 79,",up
79_10,CALEA CALARASILOR,723,"70, 79,",up
79_11,BISERICA DELEA VECHE,3125,"70, 79,",up
79_12,TEPES VODA,724,"70, 79,",up
79_13,MATEI VOIEVOD,725,"70, 79,",up
79_14,FOISORUL DE FOC,800,"79, 86,133,",up
79_15,CALEA MOSILOR,801,"79, 86,133,135,",up
79_16,PIATA GEMENI,802,"79, 86,133,135,",up
79_17,PIATA SPANIEI,3569,"79, 86,133,135,",up
79_18,CALEA DOROBANTILOR,2409,"79, 86,133,",up
79_19,PIATA ROMANA,810,"79, 86,300,",up
79_20,CALEA VICTORIEI,403,"79, 86,",up
79_21,PIATA BUZESTI,428,"65, 79, 86,",up
79_22,CALEA GRIVITEI,2597,"65, 79, 86,205,",up
79_23,GARA DE NORD,410,"79,",up
79_0,GARA DE NORD,410,"79,",down
79_1,BD. ALEXANDRU IOAN CUZA,1460,"79,",down
79_2,PIATA BUZESTI,438,"65, 79, 86,",down
79_3,CALEA VICTORIEI,429,"79, 86,",down
79_4,PIATA ROMANA,2291,"79, 86,",down
79_5,LICEUL EC. VIRGIL MADGEARU,317,"79, 86,133,",down
79_6,PIATA SPANIEI,3568,"79, 86,133,",down
79_7,PIATA GEMENI,1158,"79, 86,133,135,",down
79_8,CALEA MOSILOR,812,"79, 86,133,135,",down
79_9,FOISORUL DE FOC,3991,"79, 86,",down
79_10,MATEI VOIEVOD,763,"70, 79,",down
79_11,TEPES VODA,764,"70, 79,",down
79_12,BISERICA DELEA VECHE,3126,"70, 79,",down
79_13,CALEA CALARASILOR,765,"70, 79,",down
79_14,INVINGATORILOR,135,"70, 79,",down
79_15,BD. DECEBAL,767,"70, 79,",down
79_16,SOSEAUA MIHAI BRAVU,3444,"70, 79,",down
79_17,ION TUCULESCU,770,"70, 79,311,",down
79_18,SOSEAUA CAMPIA LIBERTATII,771,"70, 79,",down
79_19,I.O.R.,772,"70, 79,",down
79_20,BD. NICOLAE GRIGORESCU,773,"70, 79,102,202,253,",down
79_21,LUCRETIU PATRASCANU,970,"70, 79,102,202,253,",down
79_22,LICEUL NICHITA STANESCU,2912,"70, 79,102,202,253,",down
79_23,BD. BASARABIA,972,"70, 79,102,",down
85_0,GARA DE NORD,784,"62, 85, 93, 96,105,282,696,780,",up
85_1,WITING,785,"62, 85, 93, 96,123,133,163,696,",up
85_2,MIRCEA VULCANESCU,1128,"61, 69, 85, 90, 91,163,696,",up
85_3,CASA STUDENTILOR,586,"61, 69, 85, 90, 91,163,",up
85_4,VASILE PARVAN,587,"61, 69, 85, 90, 91,163,",up
85_5,PIATA MIHAIL KOGALNICEANU,758,"61, 66, 69, 70, 85, 90, 91,336,601,",up
85_6,GRADINA CISMIGIU,2934,"61, 66, 69, 70, 85, 90, 91,336,601,",up
85_7,UNIVERSITATE,759,"61, 66, 69, 70, 85, 90, 91,",up
85_8,PIATA ROSETTI,760,"61, 66, 69, 70, 85, 90, 91,336,601,",up
85_9,ARMENEASCA,2398,"66, 69, 70, 85, 90,311,655,",up
85_10,CALEA MOSILOR,761,"69, 70, 85, 90,311,655,",up
85_11,FOISORUL DE FOC,789,"69, 85,",up
85_12,SOSEAUA MIHAI BRAVU,790,"69, 85,",up
85_13,AVRIG,2585,"69, 85,",up
85_14,SOSEAUA PANTELIMON,791,"69, 85,143,682,",up
85_15,GARA OBOR,792,"69, 85,143,682,",up
85_16,BAICULUI,793,"69, 85,143,682,",up
85_0,BAICULUI,774,"69, 85,682,",down
85_1,GARA OBOR,775,"69, 85,682,",down
85_2,SOSEAUA PANTELIMON,776,"69, 85,101,",down
85_3,SOSEAUA MIHAI BRAVU,777,"69, 85,101,",down
85_4,OBORUL NOU,778,"69, 85,",down
85_5,FOISORUL DE FOC,779,"69, 85,",down
85_6,CALEA MOSILOR,727,"69, 70, 85, 90,311,655,",down
85_7,ARMENEASCA,2405,"66, 69, 70, 85, 90,311,655,",down
85_8,TEATRUL NATIONAL,968,"61, 66, 69, 70, 85, 90, 91,336,601,",down
85_9,UNIVERSITATE,729,"61, 66, 69, 70, 85, 90, 91,336,601,",down
85_10,GRADINA CISMIGIU,2933,"61, 66, 69, 70, 85, 90, 91,122,137,138,268,336,601,",down
85_11,PIATA MIHAIL KOGALNICEANU,730,"66, 70, 85,",down
85_12,BERZEI,880,"85,",down
85_13,CASA STUDENTILOR,654,"85,",down
85_14,MIRCEA VULCANESCU,1573,"85,163,",down
85_15,BD. DINICU GOLESCU,904,"62, 85, 93, 96,133,696,",down
85_16,MINISTERUL TRANSPORTURILOR,905,"62, 85, 93, 96,133,696,",down
85_17,GARA DE NORD,784,"62, 85, 93, 96,105,282,696,780,",down
86_0,ARENA NATIONALA,4472,"86, 90,",up
86_1,BD. PIERRE DE COUBERTIN,795,"86, 90,104,",up
86_2,AURA BUZESCU,796,"86, 90,104,",up
86_3,LT. VICTOR MANU,797,"86, 90,104,",up
86_4,SOSEAUA MIHAI BRAVU,982,"86, 90,",up
86_5,AGRICULTORILOR,798,"86, 90,",up
86_6,MECET,2837,"86, 90,",up
86_7,SCOALA IANCULUI,799,"86, 90,",up
86_8,FOISORUL DE FOC,800,"79, 86,133,",up
86_9,CALEA MOSILOR,801,"79, 86,133,135,",up
86_10,PIATA GEMENI,802,"79, 86,133,135,",up
86_11,PIATA SPANIEI,3569,"79, 86,133,135,",up
86_12,CALEA DOROBANTILOR,2409,"79, 86,133,",up
86_13,PIATA ROMANA,810,"79, 86,300,",up
86_14,CALEA VICTORIEI,403,"79, 86,",up
86_15,PIATA BUZESTI,428,"65, 79, 86,",up
86_16,CALEA GRIVITEI,2597,"65, 79, 86,205,",up
