linie,statie,cod_statie,conexiune_linii,directie
23_14,PARCUL CAROL I,2364,"23, 27,",up
23_15,BD. DIMITRIE CANTEMIR,2365,"23, 27,",up
23_16,PASAJ MARASESTI,2366,"23, 27,",up
23_17,NERVA TRAIAN,2422,"23, 27,",up
23_18,POSTA VITAN,500,"1, 23, 27,",up
23_19,POLICLINICA VITAN,501,"23, 27,",up
23_20,DEPOUL DUDESTI,502,"23, 27,",up
23_21,SOSEAUA MIHAI BRAVU,3117,"23, 27,",up
23_22,DRISTORULUI,45,"23, 27,",up
23_23,PIATA RAMNICU SARAT,4322,"23, 27,",up
23_24,VOLUNTARILOR,1817,"23, 27,",up
23_25,FIZICIENILOR,1822,"23, 27,",up
23_26,ILIOARA,1821,"23, 27,",up
23_27,PIATA TITAN,3032,"23, 27,",up
23_28,DUMBRAVA NOUA,2161,"23, 27,",up
23_29,BD. 1 DECEMBRIE 1918,510,"23, 27, 40,",up
23_30,OZANA,511,"23, 27, 40,",up
23_31,I.O.R. 2,512,"23, 27, 40,",up
23_32,STIROM,513,"23, 27, 40,",up
23_33,POLICOLOR,514,"23, 27, 40,",up
23_34,CHIMOPAR,515,"23, 27, 40,",up
23_35,COMPLEX RATB TITAN,516,"23, 27, 40,",up
23_0,COMPLEX RATB TITAN,521,"23, 27, 40,",down
23_1,CHIMOPAR,522,"23, 27, 40,",down
23_2,POLICOLOR,523,"23, 27, 40,",down
23_3,STIROM,524,"23, 27, 40,",down
23_4,I.O.R. 2,525,"23, 27, 40,",down
23_5,OZANA,526,"23, 27, 40,",down
23_6,BD. 1 DECEMBRIE 1918,527,"23, 27, 40,",down
23_7,DUMBRAVA NOUA,2162,"23, 27,",down
23_8,PIATA TITAN,3031,"23, 27,",down
23_9,ILIOARA,1820,"23, 27,",down
23_10,FIZICIENILOR,1811,"23, 27,",down
23_11,VOLUNTARILOR,1814,"23, 27,",down
23_12,PIATA RAMNICU SARAT,4323,"23, 27,",down
23_13,DRISTORULUI,40,"23, 27,",down
23_14,SOSEAUA MIHAI BRAVU,534,"23, 27,",down
23_15,DEPOUL DUDESTI,535,"23, 27,",down
23_16,POLICLINICA VITAN,536,"23, 27,",down
23_17,POSTA VITAN,537,"1, 23, 27,",down
23_18,NERVA TRAIAN,2423,"1, 23, 27,",down
23_19,PASAJ MARASESTI,2367,"23, 27,",down
23_20,BD. DIMITRIE CANTEMIR,2368,"23, 27,",down
23_21,PARCUL CAROL I,2369,"23, 27,",down
23_22,GRAMONT,1409,"7, 23, 27, 47,",down
23_23,PATRIARHIA ROMANA,473,"7, 23, 27, 47,",down
23_24,PIATA REGINA MARIA,436,"23, 32,",down
23_25,PIATA CHIRIGIU,409,"23, 32,",down
23_26,SOSEAUA PROGRESULUI,476,"8, 23, 32,",down
23_27,CALEA FERENTARI,97,"8, 23, 32,",down
23_28,SOSEAUA SALAJ,307,"8, 23,",down
23_29,CIBINULUI,308,"8, 23,",down
23_30,ARMISTITIULUI,309,"8, 23,",down
23_31,SULITEI,1345,"8, 23,",down
23_32,PIATA FERENTARI,310,"8, 23,",down
23_33,VADUL NOU,556,"8, 23,",down
23_34,VALTOAREI,557,"8, 23,",down
23_35,ZETARILOR,558,"8, 23,",down
24_0,CARTIER DAMAROAIA,578,"24,",up
24_1,IZBICENI,579,"24,",up
24_2,NEATARNARII,580,"24,",up
24_3,BD. BUCURESTII NOI,581,"24,",up
24_4,PAJUREI,232,"24,",up
24_5,DEPOUL BUCURESTII NOI,233,"24,",up
24_6,CARPATI,109,"24, 45,",up
24_7,CLABUCET,110,"24, 45,",up
24_8,AVIATOR POPISTEANU,544,"24, 42, 45,",up
24_9,PIATA DOMENII,545,"24, 42, 45,",up
24_10,BD. MARESAL AVERESCU,546,"24, 42, 45,",up
24_11,PIATA ION MIHALACHE,150,"24, 42, 45,",up
24_12,PIATA VICTORIEI,704,"24, 42, 45, 46,",up
